	Sample	Longitude	Latitude		Type	Richness
244	ST9_L1	116.7255591	23.32790454	7924	vPCs	264.1333333
245	ST10_L1	116.7255591	23.32790454	10251	vPCs	341.7
246	ST12_L1	116.7255591	23.32790454	8800	vPCs	293.3333333
247	ST13_L1	116.7255591	23.32790454	8163	vPCs	272.1
248	ST15_L1	116.7255591	23.32790454	8084	vPCs	269.4666667
249	WZ1_L1	121.0197392	27.85493975	55863	vPCs	1862.1
250	WZ3_L1	121.0197392	27.85493975	55004	vPCs	1833.466667
251	WZ5_L1	121.0197392	27.85493975	56257	vPCs	1875.233333
252	WZ7_FDME210455463-1r	121.0197392	27.85493975	53599	vPCs	1786.633333
253	WZ10_L1	121.0197392	27.85493975	59911	vPCs	1997.033333
254	WZ11_L1	121.0197392	27.85493975	67296	vPCs	2243.2
255	WZ14_L1	121.0197392	27.85493975	54122	vPCs	1804.066667
256	WZ15_FDME210455471-1r	121.0197392	27.85493975	53632	vPCs	1787.733333
257	XM2_FDME220007436-1r	118.066957	24.55815055	17537	vPCs	584.5666667
258	XM4_FDME220007438-1r	118.066957	24.55815055	14902	vPCs	496.7333333
259	XM6_FDME220007440-1r	118.066957	24.55815055	12961	vPCs	432.0333333
260	XM8_FDME220007442-1r	118.066957	24.55815055	16068	vPCs	535.6
261	XM10_FDME220007444-1r	118.066957	24.55815055	18405	vPCs	613.5
262	XM12_FDME220007446-1r	118.066957	24.55815055	20553	vPCs	685.1
263	XM14_FDME220007448-1r	118.066957	24.55815055	16841	vPCs	561.3666667
264	XM15_FDME220007449-1r	118.066957	24.55815055	17674	vPCs	589.1333333
265	YC1_FDME220007405-1r	120.9748363	32.82356196	30434	vPCs	1014.466667
266	YC3_FDME220007407-1r	120.9748363	32.82356196	30282	vPCs	1009.4
267	YC5_FDME220007409-1r	120.9748363	32.82356196	28815	vPCs	960.5
268	YC7_FDME220007411-1a	120.9748363	32.82356196	29334	vPCs	977.8
269	YC9_FDME220007413-1r	120.9748363	32.82356196	29950	vPCs	998.3333333
270	YC11_FDME220007415-1r	120.9748363	32.82356196	31957	vPCs	1065.233333
271	YC13_FDME220007417-1r	120.9748363	32.82356196	31874	vPCs	1062.466667
272	YC15_FDME220007419-1r	120.9748363	32.82356196	31350	vPCs	1045
273	ZH1_FDSW220008784-1r	113.6442374	22.43845252	11634	vPCs	387.8
274	ZH3_FDSW220008786-1r	113.6442374	22.43845252	14471	vPCs	482.3666667
275	ZH5_FDSW220008788-1r	113.6442374	22.43845252	13179	vPCs	439.3
276	ZH7_FDSW220008790-1r	113.6442374	22.43845252	13446	vPCs	448.2
277	ZH9_FDSW220008792-2r	113.6442374	22.43845252	14131	vPCs	471.0333333
278	ZH11_FDSW220008794-2r	113.6442374	22.43845252	13964	vPCs	465.4666667
279	ZH13_FDSW220008796-2r	113.6442374	22.43845252	14251	vPCs	475.0333333
280	ZH15_FDSW220008798-2r	113.6442374	22.43845252	13799	vPCs	459.9666667
281	CXD_1412_FDSW210423229-1r	120.7538438	36.45812023	25262	vPCs	842.0666667
282	CXD_1414_FDSW210423231-1r	120.7538438	36.45812023	27744	vPCs	924.8
283	CXD_1604_FDSW210423236-1r	120.7538438	36.45812023	23299	vPCs	776.6333333
284	CXD_1609_FDSW210423241-1r	120.7538438	36.45812023	22622	vPCs	754.0666667
285	CXD_1610_FDSW210423242-1r	120.7538438	36.45812023	24996	vPCs	833.2
286	CXD_1611_FDSW210423243-1r	120.7538438	36.45812023	25547	vPCs	851.5666667
287	CXD_1612_FDSW210423244-1r	120.7538438	36.45812023	24841	vPCs	828.0333333
288	CXD_1613_FDSW210423245-1r	120.7538438	36.45812023	24553	vPCs	818.4333333
