"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7"
"LYG5_FDME210455386-1r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414043,-0.177341900382677
"LYG6_FDME210455387-1r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414044,-0.177341900382686
"LYG7_FDME210455388-1r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414043,-0.177341900382744
"LYG11_FDME210455392-2r",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414043,-0.177341900382701
"LYG13_FDME210455394-1a",0.0832519685838454,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414044,-0.177341900382714
"LYG15_FDME210455396-1a",0.0832519685838453,-0.0692701073022133,0.0938216911079416,0.021536506578405,0.0353347624813333,-0.124606049414044,-0.177341900382769
"NB1_FDME210455352-1r",0.0949781229236135,0.0729975536636179,-0.0414028689140085,0.0405405680694229,-0.0298541696233688,0.197448671868429,-0.190052195840405
"NB2_FDME210455353-1r",0.0949781229236135,0.0729975536636179,-0.0414028689140085,0.0405405680694229,-0.0298541696233689,0.197448671868428,-0.190052195840411
"NB4_FDME210455355-1r",0.0949781229236135,0.0729975536636179,-0.0414028689140085,0.0405405680694229,-0.0298541696233689,0.197448671868429,-0.190052195840426
"NB6_FDME210455357-1r",0.0949781229236135,0.072997553663618,-0.0414028689140085,0.0405405680694229,-0.0298541696233689,0.197448671868429,-0.190052195840448
"NB7_FDME210455358-1r",0.0949781229236135,0.072997553663618,-0.0414028689140084,0.0405405680694228,-0.029854169623369,0.197448671868429,-0.190052195840445
"NB11_FDME210455362-1b",0.0949781229236135,0.072997553663618,-0.0414028689140084,0.0405405680694228,-0.0298541696233689,0.197448671868429,-0.190052195840396
"NB12_FDME210455363-1r",0.0949781229236135,0.072997553663618,-0.0414028689140084,0.0405405680694228,-0.0298541696233689,0.197448671868429,-0.190052195840182
"NB15_FDME210455366-1r",0.0949781229236134,0.072997553663618,-0.0414028689140084,0.0405405680694228,-0.0298541696233689,0.197448671868429,-0.190052195840199
"SY1_FDME210455397-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654225,0.14834332666445,-0.00989433670895649,0.00021528444276485
"SY3_FDME210455399-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654229,0.14834332666445,-0.00989433670895637,0.000215284442670861
"SY7_FDME210455403-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654235,0.14834332666445,-0.00989433670895638,0.000215284442664955
"SY9_FDME210455405-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654232,0.14834332666445,-0.00989433670895646,0.000215284442741015
"SY11_FDME210455407-1r",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654232,0.14834332666445,-0.00989433670895649,0.00021528444274421
"SY12_FDME210455408-1r",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654233,0.14834332666445,-0.00989433670895637,0.000215284442722921
"SY13_FDME210455409-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654233,0.14834332666445,-0.00989433670895651,0.000215284442727674
"SY15_FDME210455411-2a",-0.153397505450707,0.10817427752462,0.100168747350408,0.00237125965654233,0.14834332666445,-0.00989433670895639,0.000215284442738496
"ST1_FDME220007465-1r",-0.12195886370793,-0.144526073981149,-0.125967868858302,0.0435318950885088,-0.176797098091362,0.009944167835808,0.000168556476333072
