,distv_num,dist_loca_num,Type
1794,-2.852679812,5.507657415,Host
1898,-2.851887245,6.049067775,Host
1798,-2.850638989,5.970751066,Host
7092,-2.849929258,5.794732382,Virus
6959,-2.848770273,5.723030061,Virus
7122,-2.847689156,5.794732382,Virus
1570,-2.847609713,5.507657415,Host
1973,-2.847077452,6.167947556,Host
9423,-2.845484415,6.255168341,Virus
1506,-2.843397961,6.377449076,Host
7115,-2.84334699,5.794732382,Virus
9784,-2.842830453,6.319760596,Virus
9417,-2.842592079,6.255168341,Virus
6951,-2.840693423,5.723030061,Virus
1671,-2.838280629,6.049067775,Host
10190,-2.837543464,6.448694422,Virus
1894,-2.837536934,6.049067775,Host
7076,-2.835384044,5.766225705,Virus
10039,-2.834627129,6.377449076,Virus
6919,-2.833228204,5.723030061,Virus
7149,-2.832953761,5.794732382,Virus
10035,-2.832315732,6.377449076,Virus
481,-2.832239463,6.319760596,Host
6376,-2.831473354,5.507657415,Virus
7119,-2.831438716,5.794732382,Virus
6371,-2.831429173,5.507657415,Virus
1024,-2.831332407,6.448694422,Host
7096,-2.830869071,5.794732382,Virus
7093,-2.830752759,5.794732382,Virus
9804,-2.827972937,6.319760596,Virus
1969,-2.827859397,6.049067775,Host
9420,-2.823540703,6.255168341,Virus
1796,-2.822509865,5.970751066,Host
7095,-2.822352356,5.794732382,Virus
10198,-2.821415265,6.448694422,Virus
1269,-2.818959159,6.448694422,Host
8870,-2.818318204,6.167947556,Virus
768,-2.81810888,6.448694422,Host
8872,-2.817013003,6.167947556,Virus
1677,-2.815243474,6.049067775,Host
3328,-2.81317405,6.367504144,Host
9456,-2.812852311,6.255168341,Virus
1587,-2.812244548,6.210694031,Host
1588,-2.809894166,6.210694031,Host
7079,-2.80901199,5.766225705,Virus
3301,-2.808614241,6.204440095,Host
1893,-2.808169167,6.049067775,Host
6350,-2.807313804,5.507657415,Virus
7078,-2.805626118,5.766225705,Virus
6370,-2.805151064,5.507657415,Virus
9123,-2.805068944,6.210694031,Virus
855,-2.805049702,6.448694422,Host
3300,-2.804838162,6.204440095,Host
1977,-2.803969464,6.167947556,Host
